ID Magasin,Nom Magasin,Statut,Boucherie,Boulangerie,Caviar,Charcuterie & Traiteur,Pizza,Petits Fours,Number & Letter Cakes,Pâtisserie,"Décoration, Vaisselle Jetable",Plateaux de sushis,Plateaux de fromages,Plateaux de fruits de mer,Rôtisserie,Plateaux de fruits et de légumes,Menus Traiteur,Buffets et Cocktails Dînatoires,Salades
338,Carrefour Beauvais - Sud,Activé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
339,Carrefour Aix En Provence,Activé,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
340,Carrefour Carré Sénart,Activé,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
341,Carrefour Mont Saint Aignan,Activé,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
342,Carrefour Mérignac,Activé,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
343,Carrefour Aire Sur La Lys,Activé,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1
344,Carrefour Ajaccio,Activé,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
345,Carrefour Alençon,Activé,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1
346,Carrefour Amiens,Activé,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
347,Carrefour Angers Grand Maine,Activé,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
348,Carrefour Anglet,Activé,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1
349,Carrefour Angoulins,Activé,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
350,Carrefour Annecy,Activé,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
351,Carrefour Antibes,Activé,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
352,Carrefour Armentieres,Activé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
353,Carrefour Athis Mons,Activé,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
354,Carrefour Auchy Les Mines,Activé,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1
355,Carrefour Aulnay Sous Bois,Désactivé,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
356,Carrefour Avignon,Activé,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1
357,Carrefour Avranches Saint Martin,Activé,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1
358,Carrefour Barentin,Activé,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
359,Carrefour Bayeux,Activé,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1
360,Carrefour Beaucaire,Activé,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1
361,Carrefour Beaune,Activé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
362,Carrefour Berck,Activé,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1
363,Carrefour Bercy,Activé,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
